Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
questBpWastelandChampion_completion,quest,Quest,,,The Doomlord is dead. All five champions are gone. Something worse is coming.,,,El Senor del Fin esta muerto. Los cinco campeones han caido. Algo peor se acerca.,,,,,,,,,,
questBpWastelandChampion_obj_kill,quest,Quest,,,Kill the Doomlord,,,Mata al Senor del Fin,,,,,,,,,,
questBpFinalBoss_name,quest,Quest,,,FINAL BOSS: The Executioner,,,JEFE FINAL: El Verdugo,,,,,,,,,,
questBpFinalBoss_subtitle,quest,Quest,,,Face the entity that has been watching you,,,Enfrenta a la entidad que te ha estado observando,,,,,,,,,,
questBpFinalBoss_description,quest,Quest,,,"With the five champions defeated, the true enemy reveals itself. The Executioner waits. Only one of you walks away.",,,"Con los cinco campeones derrotados, el verdadero enemigo se revela. El Verdugo te espera. Solo uno de los dos saldra vivo.",,,,,,,,,,
questBpFinalBoss_offer,quest,Quest,,,All five champions are dead. The Executioner now comes for you.,,,Los cinco campeones han muerto. El Verdugo viene por ti.,,,,,,,,,,
questBpFinalBoss_statement,quest,Quest,,,Confront the Executioner?,,,Enfrentar al Verdugo?,,,,,,,,,,
questBpFinalBoss_response,quest,Quest,,,No turning back.,,,No hay vuelta atras.,,,,,,,,,,
questBpFinalBoss_completion,quest,Quest,,,The Executioner has fallen. You are the only one left.,,,El Verdugo ha caido. Eres el unico que queda.,,,,,,,,,,
questBpFinalBoss_obj_kill,quest,Quest,,,Kill the Executioner,,,Mata al Verdugo,,,,,,,,,,
challengeCategoryBossHunter,challenges,Challenges,,,Boss Hunter,,,Cazador de Bosses,,,,,,,,,,
challengeGroupBiomeChampions,challenges,Challenges,,,Biome Champions,,,Campeones de Bioma,,,,,,,,,,
challengeGroupFinalBoss,challenges,Challenges,,,Fin
